Sinopsis,limpios
"Un hallazgo de ciertas cintas revela un experimento el cual supone un cierto riesgo para la humanidad al contener un virus, a medida que avanza la historia se percataran que el virus es más que una simple enfermedad, una más de las cuales nunca habrá cura.",hallazg ciert cint revel experiment supon ciert riesg human conten virus med avanz histori percat virus simpl enfermed cual nunc cur
El trabajo de un escort es muy subestimado. Sujetos bizarros pidiendo exigencias atroces y con apariencia digna de un corto de Hitchcock.,trabaj escort subestim sujet bizarr pid exigent atroc aparient dign cort hitchcock
"El trabajo de escort es subestimado.   Es una pelicula de terror/suspenso/conciencia.  ¿por que ese nombre? por que tratamos de dejar un mensaje en la gente, sobre aquellos temas que nadie quiere tratar. Y que mejor manera de hacerlo que provocandoles un susto ¿que no?.  Relatos como ""El vampiro de la colonia roma"",  ""el resplandor"" y ""la naranja mecánica"" sirvieron como motivación para la realización de este corto.  Cabe mencionar que ninguna de las personas que se presentan son ""actores reales"", son gente común como tu y como yo,  tratando de dejarte la mejor de las impresiones para incomodarte y hacer de tu estancia un martirio.  Realidad , drama, psicofonias  y una dulce y pose-yente voz que envolvería a cualquiera con el don del oído. Y lo mas importante...una buena moraleja recordando a la gente el significado de una sana paranoia. Todo esto acompañado de nuestro celular de baja resolución , nuestra gran  imaginación y por supuesto; con  nuestra ambición de hacer un cambio en nuestro país y sobre todo a nuestra comunidad que la tenemos muy olvidada y ocupada con ese mundo toxico de caramelo.",trabaj escort subestim pelicul terror suspens concienci nombr trat dej mensaj gent aquell tem nadi quier trat mejor maner hac provoc sust relat vampir coloni rom resplandor naranj mecan sirv motiv realiz cort cab mencion ningun person present actor real gent comun trat dejart mejor impresion incomodart hac estanci martiri realid dram psicofoni dulc pos yent voz envolv cualqu don oid mas import buen moralej record gent signific san paranoi acompañ celul baj resolu gran imagin supuest ambicion hac cambi pais comun olvid ocup mund toxic caramel
"El trabajo de un escort es muy subestimado. Es una pelicula de terror/suspenso/conciencia. ¿por que ese nombre? por que tratamos de dejar un mensaje en la gente sobre aquellos temas que nadie quiere tratar. Y que mejor manera de hacerlo que con un susto ¿que no? libros como ""el vampiro de la colonia roma"", ""el esplandor"" y ""la naranja mecanica"" sirvieron como motivación para la realización de este cortometraje. Cabe mencionar que ninguna de estas personas son actores reales , son gente como tu o como yo, tratando de dejarte la mejor de las impresiones para incomodarte  y hacer de tu estancia un martirio. Realidad, drama, psicofonias y una dulce pose-yente voz que envolverá a cualquiera con el don del oído. Y lo mas importante ; un recordatorio de la frase : ""sana paranoia"". Todo esto acompañado de nuestro celular de baja resolución y nuestra gran imaginación pero sobre todo nuestra ambición de hacer un cambio en nuestro país y gente que la tenemos muy olvidad y ocupada con ese mundo de caramelo tan toxico.",trabaj escort subestim pelicul terror suspens concienci nombr trat dej mensaj gent aquell tem nadi quier trat mejor maner hac sust libr vampir coloni rom esplandor naranj mecan sirv motiv realiz cortometraj cab mencion ningun person actor real gent trat dejart mejor impresion incomodart hac estanci martiri realid dram psicofoni dulc pos yent voz envolv cualqu don oid mas import recordatori fras san paranoi acompañ celul baj resolu gran imagin ambicion hac cambi pais gent olvid ocup mund caramel tan toxic
"El cortometraje trata de la vida de un estudiante de bachillerato, sobre el regreso a clases y cosas que jamás avía vivido durante esta semana.",cortometraj trat vid estudi bachillerat regres clas cos jamas avi viv seman
"En una casa recién habitada le pasan sucesos paranormales al nuevo inquilino. Invita a sus amigos a convivir, jugar con la ouija y tienen encuentros del mas alla. Poco a poco y misteriosamente van desapareciendo dando indicios de que una entidad siniestra existe realmente en la casa.",cas recien habit pas suces paranormal nuev inquilin invit amig conviv jug ouij encuentr mas alla misteri van desaparec dand indici entid siniestr exist realment cas
un alien es bebe,ali beb
"Un ladrón entra a una casa aparentemente sola y abandonada, pero en el interior se encuentra   con La Catrina, que es dueña de esta casa y no permitirá que nadie tome lo que es suyo.  La Catrina observa al ladrón y decide atacarlo llevándolo a la locura",ladron entra cas aparent sol abandon interior encuentr catrin dueñ cas permit nadi tom catrin observ ladron decid atac llev locur
Documentar más a fondo la verdadera vida del día a día en el barrio.,document fond verdader vid dia dia barri
prueba,prueb
Emilio logra nadar después de haber tenido un derrame cerebral.,emili logr nad despues hab derram cerebral
Emilio nada a pesar de 1 derrame cerebral que sufrió hace 10 años.,emili pes 1 derram cerebral sufr hac 10 años
"Es muy común hablar sobre las discapacidades visibles a las cuales la sociedad ya está ""acostubrada"" pero, ¿Qué pasa con aquellas personas que padecen de una enfermedad que los vuelve discapacitados invisibles? Actualmente se estima que en México un 15 % de la población padece de una discapacidad. Pero no hay registros de cual es el porcentaje de la población con discapacidad invisible.  ""Discapacidad invisible"" muestra como la tecnología se puede volver el mejor aliado de las personas que padecen alguna de estas enfermedades.",comun habl discapac visibl cual socied acostubr pas aquell person padec enfermed vuelv discapacit invis actual estim mexic 15 poblacion padec discapac registr porcentaj poblacion discapac invis discapac invis muestr tecnolog pued volv mejor ali person padec algun enfermedad
La Dama de la muerte llega a la tierra buscando el respeto a las tradiciones de los muertos. Al entrar a una fiesta se da cuenta de que sus asistentes no están ahí para venerarla.,dam muert lleg tierr busc respet tradicion muert entrar fiest da cuent asistent ahi vener
"La violencia doméstica es un cáncer social. Un hombre, mujeres abusadas, un mismo lugar.",violenci domest canc social hombr mujer abus mism lug
Un joven al cual le hacen bullying toma la terrible decision de quitarse la vida en el baño de su colegio...,jov hac bullying tom terribl decision quit vid bañ colegi
"UNA CHICA SIN MALICIA ACUDE A UNA FIESTA DE DIA DE MUERTOS SIN PENSAR QUE POR DECIDIR IRSE SOLA DE LA FIESTA SERIA ATACADA POR UN PAR DE DESCONOCIDOS LOS CUALES LE DIERON MUERTE, UN AÑO DESPUES REGRESARA PARA VENGARSE, CON EL UNICO DESEO DE QUE ENCUENTREN SUS RESTOS.",chic malici acud fiest dia muert pens decid irse sol fiest seri atac par desconoc cual dieron muert año despu regres veng unic dese encuentr rest
"Una chica de 16 años entra a un Starbucks, cuando se encuentra con un chico muy interesante, el cual la hace cuestionarse si el amor por fin tocó a su puerta, pero encontrase con un extraño otra ves no es nada fácil.",chic 16 años entra starbucks encuentr chic interes hac cuestion si amor fin toc puert encontr extrañ ves facil
"Algo siempre pasa aquí, y aquí es donde suceden las cosas. Mira una tarde del Joven Scott Snyder.",siempr pas aqu aqu suced cos mir tard jov scott snyder
"Deseo  Esta historia trata de un par de compañeros de trabajo Daniela y Fernando ,  comparten sus experiencias de el dia , salen a convivir un poco si imaginarse lo que despues devendra. Uno de ellos tiene una noche que jamas olvidara debido  a que  hay que tener mucho cuidado con lo que se desea por que se puede cumplir. Ambos son sometidos a experiencias que solo se leen en revistas o se ven en videos de redes sociales.",dese histori trat par compañer trabaj daniel fern compart experient dia sal conviv si imagin despu devendr noch jam olvid deb ten cuid dese pued cumpl ambos somet experient sol leen revist ven vide red social
"Un joven no sabe cómo afrontar la perdida de sus seres queridos, así que su padre decide ""charlar"" con él.",jov sab com afront perd ser quer asi padr decid charl
"La red social hizo que dos grandes amantes de la música se encontrarán, y así forjar, una linda amistad",red social hiz dos grand amant music encontr asi forj lind amist
"Un matrimonio, poco peculiar, deciden encargar un bebé que llene de felicidad su hogar.   Para ello buscan la mejor opción de entregas a domicilio, la esposa comienza a sentir   contracciones, quizá parte de la sugestión por la llegada del nuevo integrante. Él se   esfuerza para que la habitación del bebé quede perfecta, pero al escuchar la llegada de la   cigüeña con su pedido, la torpeza hace de las suyas y el cuarto termina echo un desastre.   Pero todo se compensa cuando tienen por fin al pequeño integrante en sus manos.",matrimoni peculi decid encarg beb llen felic hog ello busc mejor opcion entreg domicili espos comienz sent contraccion quiz part sugestion lleg nuev integr esfuerz habit beb qued perfect escuch lleg cigüeñ ped torpez hac cuart termin echo desastr compens fin pequeñ integr man
Todo proyecto comienza como una idea.,proyect comienz ide
Unos loquillos bien loquillos,loquill bien loquill
"Geonas quiere ser un mago, pero a que precio",geon quier ser mag preci
"Un joven con problemas psicológicos esta convencido de tener una relación cercana  con  satanás ademas de que este le regalara la habilidad de convertirse en animal, pero para eso tendrá que entregarle un sacrifico.",jov problem psicolog convenc ten relacion cercan satanas adem regal habil convert animal entreg sacrif
"La gente del pueblo siempre contaba de aquellas bolas de fuego en el cielo y de esos animales que con sus gritos y esas aletadas que daban en las azoteas hacían estremecer a todos . Siempre al llegar el atardecer todos se protegían colgando infinidad de ajos ,hierbas  y sal a la entrada de sus casas para alejar a esas malas   Vibras y cuidándose unos a otros de las muy mencionadas Brujas  ?‍♀️ Dicen que es bueno creer,pero también es bueno no creer pero de que las hay ,las hay",gent puebl siempr cont aquell bol fueg ciel animal grit alet dab azot hac estremec siempr lleg atardec proteg colg infin ajos hierb sal entrad cas alej mal vibr cuid mencion bruj dic buen cre buen cre
La exposición pictórica de la Catrina sirve para que la calavera garbancera  visite a futuras victimas.,exposicion pictor catrin sirv calaver garbancer visit futur victim
"Una pareja llega a una hacienda recien heredada para pasar un fin de semana juntos, sin embargo, están a   punto de darse cuenta de que en realidad, no están solos.",parej lleg haciend reci hered pas fin seman junt embarg punt dars cuent realid sol
"Se vive el holocausto humano y científicos comienzan a usar a personas en experimento, con el fin de mandarlos a su pasado, pero el experimento es mortal para la mayoría de las personas.",viv holocaust human cientif comienz usar person experiment fin mand pas experiment mortal mayor person
"Un escritor intenta terminar su trabajo, en eso se queda dormido y tiene un sueño donde ve ciertos elementos de su alrededor. Deespierta y escucha ruidos diversos que se relacionan con su sueño, alguien lo ataca y despierta realmente, pero hay indicios de que ya estaba despierto... ¿O no?",escritor intent termin trabaj qued dorm sueñ ve ciert element alrededor deespiert escuch ruid divers relacion sueñ algui atac despiert realment indici despiert
Un joven es encerrado en su propio departamento por una inteligencia artificial. Comienza la hora de ocio.,jov encerr propi departament inteligent artificial comienz hor oci
"Aldo se enfrenta con su pasado una noche al encontrarse a la que una vez fue el amor de su vida Vanesa en un bar. Él se siente abrumado por su presencia, no sabe si esta alucinando o si hay algo más puesto que lo que siente es bastante real.   Ella se le presenta revelando poco a poco su verdadera naturaleza. Una naturaleza que va tomando forma en un espectro o figura esquelética. A pesar de todo siguen manteniendo una química inexplicable, Sin embargo, se da cuenta de que está atrapado en un ciclo interminable, un infierno en el que no puede escapar, donde es atormentado por esta mujer y por los diversos intentos de reconquistarla o arreglar su relación y en el que equivocarse es más que inevitable.  En un momento por mantenerse seguro de esta experiencia él se resguarda en el único lugar apartado de las personas, ahí recuerda los buenos momentos que tuvieron durante su relación formal, lo mucho que la amaba y lo culpable que se siente por haberla dejado ir, su alma y sus pensamientos se encuentran fragmentados. Vanesa se encarga de transformar esa realidad y llevarlo a un camino en el que le revele su verdadero ser. Aldo entonces sufre un proceso de aceptación de la realidad en el que resignarse y dejar ir a Vanesa significaría su liberación de este infierno. Sin embargo siempre se siente atraído hacia un posible cambio en este encuentro. La misma noche presenta entonces esos tres momentos cruciales incertidumbre, revelación y liberación partiendo de un punto importante, nosotros somos creadores de nuestro propio infierno, y lo más profundo de nuestras emociones hacen que ese infierno resulte algo eterno y misterioso.",aldo enfrent pas noch encontr vez amor vid vanes bar abrum presenci sab si alucin si puest bastant real present revel verdader naturalez naturalez va tom form espectr figur esquelet pes sig manten quimic inexplic embarg da cuent atrap cicl intermin infiern pued escap atorment muj divers intent reconquist arregl relacion equivoc inevit moment manten segur experient resguard unic lug apart person ahi recuerd buen moment relacion formal amab culpabl hab dej ir alma pensamient encuentr fragment vanes encarg transform realid llev camin revel verdader ser aldo entonc sufr proces acept realid resign dej ir vanes signific liber infiern embarg siempr atraid haci posibl cambi encuentr mism noch present entonc tres moment crucial incertidumbr revel liber part punt import creador propi infiern profund emocion hac infiern result etern misteri
"Es noticiero que se enfoca en el proceso que llevan las redes sociales, y uno que otro chismesito poray!... Tienen de invitado,  al ""Más famoso de los YouTubers en Latinoamérica""",noticier enfoc proces llev red social chismesit poray invit famos youtubers latinoamer
"Edmundo es un trabajador de limpieza en una Radio donde es un poco distraído, es día de fumigar las cabinas de radio, pero el olvida avisa a Carlos quien es uno de los locutores, lo que le ocacionara diversos problemas y apuros debido a que Carlos a caído al suelo sin poder detenerse siquiera.",edmund trabaj limpiez radi distraid dia fumig cabin radi olvid avis carl locutor ocacion divers problem apur deb carl caid suel pod deten siqu
"Basada en la leyenda mexicana de “La Planchada”, una mujer tiene la labor de decidir, si dejar vivir o morir a los pacientes que noche a noche llegan al hospital.",bas leyend mexican planch muj labor decid si dej viv mor pacient noch noch lleg hospital
"El cortometraje hace parte del género Dramático. Esté se basa en la vida de Jóse, un joven humilde nacido en la Ciudad de Medellín.  Su vida como la de muchos otros atraviesa por momentos difíciles para él y su familia, la violencia de la ciudad marcó en muchos sentidos su vida, pero no fue nunca el norte que dio rumbo a sus pasos. Vivía con su madre, Ana Lucia y su hermano, Juan Pablo en la comuna 5. La historia se desarrolla en dos líneas de tiempo distintas; la primera: El presente, donde José reflexiona acerca de su vida en general. La segunda: El pasado, su infancia; ya que por medio de esta nos cuenta su historia.",cortometraj hac part gener dramat bas vid jos jov humild nac ciud medellin vid atravies moment dificil famili violenci ciud marc vid nunc nort dio rumb pas viv madr ana luci herman juan pabl comun 5 histori desarroll dos lin tiemp distint primer present jos reflexion acerc vid general segund pas infanci medi cuent histori
"Un grupo de amigos se encuentran reunidos en un bar platicando, pero uno de ellos es acosado por una entidad sobre natural la cual tiene un interés sobre uno de los amigos",grup amig encuentr reun bar platic acos entid natural interes amig
Un hombre que se hospeda en una solitaria hacienda descubre que de haber sabido lo que sucede durante la noche no hubiera dormido con tanta tranquilidad.,hombr hosped solitari haciend descubr hab sab suced noch dorm tant tranquil
"María Cerros es una mujer que se ha quedado sola, vive frustrada por el tiempo que perdido que ha dejado atrás; dentro del contexto de Día de Muertos, en México, recibe una visita inesperada de alguien que la guiará a otro plano espaciotemporal.",mar cerr muj qued sol viv frustr tiemp perd dej atras dentr context dia muert mexic recib visit inesper algui gui plan espaciotemporal
"Hace mucho una pareja no sale, llegan a un bar por una cerveza roja, quieren más, pero el aditivo rojo no es cualquier aditivo.",hac parej sal lleg bar cervez roj quier adit roj cualqui adit
Un Rappitendero lleva su dia a dia manteniendo la mejor actitud de todas: La Rappiactitud,rappitender llev dia dia manten mejor actitud tod rappiactitud
"Coffee es un perro muy fiel y cariñoso, un día su amo toma una decision que lo afecta emocionalmente, pero a pesar de las circunstancias Coffee no olvidará a su mejor amigo y siempre estará dispuesto a ayudarlo sin importar su rechazo.",coffe perr fiel cariñ dia amo tom decision afect emocional pes circunst coffe olvid mejor amig siempr dispuest ayud import rechaz
"¿Te encontraste algo? No, las cosas tienen un dueño. Este cortometraje muestra una dramatización sobre lo que pasa cuando perdemos algo de camino y muchas veces no es devuelto a su dueño original.",encontr cos dueñ cortometraj muestr dramatiz pas perd camin much vec devuelt dueñ original
"Una chica visualiza un video en repetidas ocasiones pero con la singularidad de no dejar reproducirlo completamente, despues de una repentina llamada la chica decide salir de su habitación, pero antes tendrá que aceptar el desafío de visualizar el video completo.",chic visualiz vide repet ocasion singular dej reproduc complet despu repentin llam chic decid sal habit acept desafi visualiz vide complet
"Sofía regresa a su hogar por el amor de su vida, con un desesperado deseo de encontrarse del mismo lado.",sof regres hog amor vid desesper dese encontr mism lad
"Elsa es una sobreviviente del apocalipsis zombie, y la única manera de mantenerse a salvó es huyendo de la ciudad, movida por un sentimiento jamás experimentado en las historias de amor convencionales. En esta travesía ella llevará consigo a su novio quien fue víctima de esta epidemia.",elsa sobrevivient apocalipsis zombi unic maner manten salv huyend ciud mov sentimient jamas experiment histori amor convencional traves llev consig novi victim epidemi
una muñeca mata a todos,muñec mat
Historia de una abuela que mata a sus nietos.,histori abuel mat niet
"Las redes sociodigitales están llenas de gente que culpa a las víctimas por encima de los verdaderos culpables. Rosaura se da cuenta de esto cuando sin esperarlo, ve a Laura siendo acosada. Los mensajes hirientes que recibe Laura la vuelven indefensa. Rosaura tiene pruebas que aclaran la inocencia de Laura, pero debe de buscar muy dentro de ella el valor de enfrentarse a los estigmas de una sociedad antipática.",red sociodigital llen gent culp victim encim verdader culpabl rosaur da cuent esper ve laur siend acos mensaj hirient recib laur vuelv indefens rosaur prueb aclar inocent laur deb busc dentr valor enfrent estigm socied antipat
"Un grupo de amigos pasan un fin de semana en un rancho, sin embargo, Mariana no está cómoda con el ambiente y todo cambiará cuando descubre el libro de ""La Flaca""",grup amig pas fin seman ranch embarg marian comod ambient cambi descubr libr flac
"Algo extraño ocurre tras terminar una reunión personal, nuestros personajes Paco y Likan se encargarán de averiguar qué ha ocurrido, aunque..., las dudas e infinidad de preguntas invaden a Likan porque el no estuvo en esa fiesta, despierta desconcertado en el sillón, puede que todo sea un sueño, u otra dimensión alterna o simplemente todo está en su cabeza..., o en la tuya.",extrañ ocurr tras termin reunion personal personaj pac lik encarg averigu ocurr aunqu dud infin pregunt invad lik fiest despiert desconcert sillon pued sueñ u dimension altern simplement cabez
"Tras saber sobre la muerte de una mujer en Mineral del Chico, Pachuca, México, dos jóvenes contactan a una anciana para esclarecer qué sucedió aquél día en los años 40 cuando el pueblo escuchó los gritos de una joven en medio de las montañas.",tras sab muert muj mineral chic pachuc mexic dos joven contact ancian esclarec suced aquel dia años 40 puebl escuch grit jov medi montañ
Prueba,prueb
"Romantica es la historia de una chica que es bailarina la cual en una noche que paso en la casa de su novio se ve envuelta en un gran problema al enterarse que su novio la engaña con una muñeca. Estela sin poder contener su coraje y sus emociones deside tomar y pasar toda la noche reclamandole a la amante del novio (la muñeca) ya pasada de copas y sin nocion del tiempo corta el vestido rosa  que tenia que usar para un trabajo muy importante al dia siguienete.  Sin darse cuenta de todo el tiempo que habia pasado en el baño llorando, reclamando, cantando y cortando el veatido para vestir a su rival Felixia la dueña de la compañia de baile le llama para ver si ya casi esta lista. Al enterarse que Estela habia cortado el vestido que tenian que usar en el show le dise que si no llega alli con el vestido que se olvide del trabajo. Estela desesperada por estar lejos de su casa y con el tiempo encima se acuerda de la aplicacion de rappi en la cual puede ordenar todo lo que necesita para llegar a su trabajo a tiempo.",romant histori chic bailarin noch pas cas novi ve envuelt gran problem enter novi engañ muñec estel pod conten coraj emocion desid tom pas tod noch reclam amant novi muñec pas cop nocion tiemp cort vest ros teni usar trabaj import dia siguienet dars cuent tiemp habi pas bañ llor reclam cant cort veat vest rival felixi dueñ compañi bail llam ver si casi list enter estel habi cort vest teni usar show dis si lleg alli vest olvid trabaj estel desesper lej cas tiemp encim acuerd aplicacion rappi pued orden necesit lleg trabaj tiemp
"Regina despierta sólo para darse cuenta de que ya no está con el quien ama, tendrá que decidir si seguir a la catrina o quedarse con su amado.",regin despiert sol dars cuent ama decid si segu catrin qued amad
"Un joven viajero decide  hacer una parada en un pueblito pequeño, quedandose a altas horas de la noche en un bar decidee quedarse a tomar su última cerveza mientras el cantinero le advierte sobre el riesgo que corre al quedarse en ese lugar hasta altas horas de la noche. Haciendo caso omiso, el joven tendrá un encuentro desafortunado.",jov viajer decid hac par pueblit pequeñ qued altas hor noch bar decide qued tom ultim cervez mientr cantiner adviert riesg corr qued lug altas hor noch hac cas omis jov encuentr desafortun
"Nuestros seres queridos que se han adelantado al mas alla regresan el día de Muertos para convivir una vez mas con nosotros, pero no todos saben que ya no están en el plano terrenal",ser quer adelant mas alla regres dia muert conviv vez mas sab plan terrenal
"Anna regresa a casa y es perseguida por una extraña presencia, si la alcanza nunca será la misma",anna regres cas persegu extrañ presenci si alcanz nunc mism
"Durante la era tecnológica una Joven decide compartir detalles importantes de su vida privada mediante una red social, sin saber a lo que estos actos la llevaran.",tecnolog jov decid compart detall import vid priv mediant red social sab actos llev
el video trata sobre momentos que han transcurrido en mi vida..y como es que yo veo la felicidad...alrededor de mis amigos y familiares,vide trat moment transcurr vid veo felic alrededor amig familiar
"2 amigas conectadas 100% al mundo digital, dejan pasar momentos reales, por momentos digitales.",2 amig conect 100 mund digital dej pas moment real moment digital
"Una mujer trabajadora nos narra cual era su situación de vida antes y después del sismo del 19 de Septiembre del 2017, al perder su trabajo.",muj trabaj narr situacion vid despues sism 19 septiembr 2017 perd trabaj
"El cortometraje es actuado por una persona, ella , se llama miriam. El cortometraje se desarrolla en un automóvil y mientras maneja va mensajeando, de repente se le atraviesa un auto, y Miriam frena, toca el claxon y se molesta, y sigue su camino, segundos después le empiezan a llegar varios chats y al checarlos se queda inmovil al ver que los chats son de personas que ya murieron y en ese momento se da cuenta que  el percance anterior fué fatal y allí perdió la vida. Se cree que cuando mueres no te das cuenta al instante y eso le pasó a Miriam. La línea entre la vida y la muerte es muy delgada basta un instante para brincarla.",cortometraj actu person llam miriam cortometraj desarroll automovil mientr manej va mensaj repent atravies aut miriam fren toc claxon molest sig camin segund despues empiez lleg vari chats chec qued inmovil ver chats person mur moment da cuent percanc anterior fue fatal alli perd vid cre muer das cuent instant pas miriam line vid muert delg bast instant brinc
"Joven universitario se encuentra haciendo sus deberes en la noche, cuando se da cuenta que una presencia lo está acechando.",jov universitari encuentr hac deber noch da cuent presenci acech
"Gabriel desde pequeño fue diagnosticado con el ""Cerebro abierto"" que es una forma de poder ver y sentir lo sobrenatural. Después de un tiempo Gabriel es acusado de fraude y para evitar la cárcel, contacta a un espíritu para que lo ayude a salir de esta situación, lo que no sabe es que invocará al peor ser del mundo infernal; a la Catrina.",gabriel pequeñ diagnostic cerebr abiert form pod ver sent sobrenatural despues tiemp gabriel acus fraud evit carcel contact espiritu ayud sal situacion sab invoc peor ser mund infernal catrin
Un chico trata de obtener el pack de una chica a través de mensajes en messenger pero lo que obtiene no es lo que esperaba.,chic trat obten pack chic traves mensaj messeng obtien esper
"Un grupo de jóvenes celebra una fiesta en la dirección Victoria #366 con el objetivo de comprobar la veracidad de un video viral sobre la muerte de un YouTuber grabada en la misma dirección, sin embargo pronto uno de ellos será testigo de cómo lo que parece un simple juego, determinará sus vidas.",grup joven celebr fiest direccion victori 366 objet comprob verac vide viral muert youtub grab mism direccion embarg pront testig com parec simpl jueg determin vid
"Un joven historiador llega a una casa en el pueblo de La Garbancera, ahí se dará cuenta que tomar a la ligera las tradiciones tiene terribles consecuencias.",jov histori lleg cas puebl garbancer ahi dar cuent tom liger tradicion terribl consecuent
¿Alguna vez te has preguntado quién soy? te has preguntado ¿Por qué lo hace? La información expuesta en redes sociales lleva a una chica  a ser seguida por un secuestrador todo en un entorno donde un tratante de blancas lo observaremos en primera persona. Tan solo por ti soy,algun vez pregunt quien pregunt hac inform expuest red social llev chic ser segu secuestr entorn tratant blanc observ primer person tan sol
Narración mediante la yuxtaposición de imágenes de 5-7-5 tomas como la poesía japonesa.,narracion mediant yuxtaposicion imagen 5 7 5 tom poes japones
