Sinopsis,limpios
"Camila se encuentra en su casa empacando su maleta. No va de viaje, no va de visita a donde sus padres. El motivo es mÍs profundo que eso. Dentro de ella lleva algo mÍs pesado que aquellos objetos personales; recuerdos. En una tarde/noche, Camila toma la decisión que tanto le costó, irse de la casa y dejar a su novio Pablo después de los continuos abusos. Una decisión personal cargada de recuerdos bellos y feos; el amor de la manera enfermiza que puede resultar ser y la valentía de una persona para ponerle punto final. Â¡No mÍs! Es la historia de Camila, una chica linda y de buenos sentimientos que decide dejar a su novio por los constantes abusos machistas que sufría de él. Una decisión que le pesa y que estÍ cargada de recuerdos a su alrededor.",camil encuentr cas empac malet va viaj va visit padr motiv mis profund dentr llev mis pes aquell objet personal recuerd tard noch camil tom decision cost irse cas dej novi pabl despues continu abus decision personal carg recuerd bell feos amor maner enfermiz pued result ser valent person pon punt final â mis histori camil chic lind buen sentimient decid dej novi constant abus machist sufr decision pes esti carg recuerd alrededor
"Sofía y José, son dos amigos que deciden emprender un viaje en bÍºsqueda de sus sueños, Â¡la mejor maestra de actuación del mundo! los espera en la capital para hacerles una audiciónâ€¦ deciden arriesgarlo todo y realizar su viaje. Después de mÍs de veinte horas de recorrido los recibe una gran ciudad que los maravilla y los aterra, un incidente hace que pierdan los datos de contacto de la maestra; ahora no solo estÍn extraviados en una ciudad que no conocen, si no que su sueño estÍ en riesgo. Así como en el pueblo, comienzan a preguntar calle a calle sobre donde podrÍ vivir la maestra, en el camino encuentran un teatro donde audicionarÍn con alguien mÍs, pero una audición es una audición y eso los motiva a seguir descubriendo que cada persona que cruzan en su camino, tiene su propio anhelo por cumplir, siendo esto lo que realmente llenan de sentido la existencia, sueños sencillos que nos permiten ser felices. Una comedia romÍntica con tintes de â€œroad",sof jos dos amig decid emprend viaj biºsqued sueñ â mejor maestr actuacion mund esper capital hac audicionâ decid arriesg realiz viaj despues mis veint hor recorr recib gran ciud maravill aterr incident hac pierd dat contact maestr ahor sol estin extravi ciud conoc si sueñ esti riesg asi puebl comienz pregunt call call podr viv maestr camin encuentr teatr audicionarin algui mis audicion audicion motiv segu descubr cad person cruz camin propi anhel cumpl siend realment llen existent sueñ sencill permit ser felic comedi romint tint â œro
"A consecuencia de un asalto, un Joven de 17 años pierde su ojo izquierdo, desde aquel momento ha tenido pesadillas que lo atormentan cada noche, pero su vida darÍ un giro inesperado cuando deba elegir entre tomar venganza o no, ignorando que detrÍs de esa decisión se oculta algo siniestro.",consecuent asalt jov 17 años pierd ojo izquierd aquel moment pesadill atorment cad noch vid dar gir inesper deb eleg tom venganz ignor detr decision ocult siniestr
"Elsa, esta terriblemente enamorada, se prepara para recibir al amor de su vida. Prepara una cena, se alista, se maquilla y se viste de la mejor manera. Alista la mesa y ambienta el lugar de la manera mÍs romÍntica posible , al llegar la noche, la cita, es consigo misma.",elsa terribl enamor prep recib amor vid prep cen alist maquill vist mejor maner alist mes ambient lug maner mis romint posibl lleg noch cit consig mism
"Jugar a adivinar el personaje nunca ha sido tan divertido hasta que un grupo de amigos se reunión en su sótano y en medio de cervezas y risas, a medida que van acercÍndose a sus personajes asignado, se transforman en divertidas cosas.",jug adivin personaj nunc sid tan divert grup amig reunion sotan medi cervez ris med van acercindos personaj asign transform divert cos
este vídeo trata de mostrar la forma como dejamos de ser irreverentemente felices ante el mundo y si lo somos en la privacidad,vide trat mostr form dej ser irreverent felic mund si privac
"Â¿Has considerado alguna vez la debilidad de un ZOMBIE? el cortometraje se centra en las pruebas que afronta el protagonista en su propósito de convertirse en el ZOMBIE nÍºmero uno, llevÍndolo ha adentrarse en un mundo totalmente incoherente para él, puesto que no logra encajar en su entorno aÍºn cuando hace su mejor esfuerzo para lograr su cometido, nuestro protagonista afronta los retos que se le presentan, en este camino lo acompaña la luz que lo guía en cada paso (CELSIA) dÍndole la fuerza y la energía para perseverar.",â consider algun vez debil zombi cortometraj centr prueb afront protagon proposit convert zombi niºmer llevindol adentr mund total incoherent puest logr encaj entorn aiºn hac mejor esfuerz logr comet protagon afront ret present camin acompañ luz gui cad pas celsi dindol fuerz energ persever
"Â¿ Un secuestros? Un jefe es malo con sus empleados ,y estos deciden secuestrar al jefe para darle una dosis de su propia medicina.",â secuestr jef mal emple decid secuestr jef darl dosis propi medicin
"Elsa es una sobreviviente del apocalipsis zombie, y la Íºnica manera de mantenerse a salvó es huyendo de la ciudad, movida por un sentimiento jamÍs experimentado en las historias de amor convencionales. En esta travesía ella llevarÍ consigo a su novio quien fue víctima de esta epidemia.",elsa sobrevivient apocalipsis zombi iºnic maner manten salv huyend ciud mov sentimient jam experiment histori amor convencional traves llevar consig novi victim epidemi
"DEPUES DE QUE SU HIJA MENOR MURIÓ SU HIJO SE VE ENVUELTO EN UN DRAMA DE RECIBIR EL AFECTO QUE QUIZÍS CUANDO NIÍ‘O NUNCA RECIBIÓ ESTA HISTORIA NOS ENSEÍ‘A DEBEMOS APROVECHAR AL MÍXIMO LA COMPAÍ‘ÍA DE NUESTROS SERES QUERIDOS Y DERROCHAR NOS EN DEMOSTRACIONES DE AFECTO AHORA QUE ESTÍN EN VIDA , QUE PUEDEN SENTIRNOS Y ESCUCHARNOS AHORA QUE PODEMOS.",depu hij menor mur hij ve envuelt dram recib afect quiz s nii nunc recib histori ense deb aprovech xim compa i ser quer derroch demostr afect ahor esti n vid pued sent escuch ahor pod
"Sobre una muchacha que se ha conservado, ella se ha dedicado ha ahorrar sus besos durante toda su vida. Desde muy pequeña ha tenido pretendientes debido a su bella apariencia, pero nadie jamas ha podido besarla. Al final solo un humilde campesino y cante logra ganarse su corazón.",muchach conserv dedic ahorr bes tod vid pequeñ pretendient deb bell aparient nadi jam pod bes final sol humild campesin cant logr gan corazon
Cuenta el drama de una niña consumidora de drogas la cual siente un extraño suceso en una de sus escapadas al mundo de las drogas las cuales hacen que tenga recuerdos de su época en la universidad y como sus compañeros le hacían bullyng,cuent dram niñ consumidor drog extrañ suces escap mund drog cual hac recuerd epoc univers compañer hac bullyng
"Algo Inesperado Cuando un hombre que no desea tener hijos recibe la noticia de que serÍ padre, comienzan una serie de cambios en su modo de ver la vida y sobre todo: la paternidad.",inesper hombr dese ten hij recib notici ser padr comienz seri cambi mod ver vid patern
"ALMAS Narra la historia de dos personas a través de unos ojos capaces de ver los acaecimientos del alma, Noemí una persona muy tímida y algo torpe, una persona ida de la realidad que todos vemos, muy inteligente, pero a su vez no es capaz de encajar en esa realidad, no por alguna enfermedad o algo mÍs, solo que no se le ha dado la oportunidad de salir de su confort, siempre con su fiel amiga de cuatro patas, andante de tras de ella, la cual es la que narra la historia pues sus ojos tienen el don de ver los acaecimientos del alma, solo ella representando su mundo social, y por otro lado esta Dylan quien es igual a Noemí torpe pero muy inteligente quien estÍ concursando por una beca en la universidad, hasta que un día, todo cambia cuando en una de sus muchas torpezas ambos caminos se cruzan, y al ver que sus almas se encuentran todo su entorno se modifica, como si nada estuviera en contra de ellos de nuevo, pero de alguna manera su suerte no dura mucho. Debido al despido",almas narr histori dos person traves ojos capac ver acaec alma noem person tim torp person ida realid vem inteligent vez capaz encaj realid algun enfermed mis sol dad oportun sal confort siempr fiel amig cuatr pat andant tras narr histori pues ojos don ver acaec alma sol represent mund social lad dylan igual noem torp inteligent esti concurs bec univers dia cambi much torpez ambos camin cruz ver almas encuentr entorn modif si nuev algun maner suert dur deb desp
"Esta historia nace a raíz de una problemÍtica social que de algÍºn modo vivió y padeció mucha gente que habito en un lugar de BogotÍ llamado el Bronx. Almas sin retorno habla de Amelia una madre soltera que cayó en este oscuro mundo y su amor mÍs grande o lo que anhela es regresar a casa con su hija salome, maría una contadora publica que un día sintió que a su vida le faltaba algo y cae también en este oscuro mundo por una persona muy cercana a su vida quien le hace creer que ella puede salir de su zona de confort solo con probar algo de la conocida marihuana. Joaquín mÍºsico quien por su entorno también tuvo facilidad de consumir drogas y en la historia la vida de estos tres personajes se cruza y comienza a ver como un lazo de amor y amistad entre ellos. Allí son maltratados por un saya yin conocido como el cabras, y durante el operativo ellos quedan inconscientes y el cabras se los lleva. Joaquín muere de un disparo que le propinan en su cabeza, María y Amelia e",histori nac raiz problemit social algiºn mod viv padec much gent habit lug bogot llam bronx almas retorn habl ameli madr solter cay oscur mund amor mis grand anhel regres cas hij salom mar contador public dia sint vid falt cae oscur mund person cercan vid hac cre pued sal zon confort sol prob conoc marihuan joaquin miºsic entorn facil consum drog histori vid tres personaj cruz comienz ver laz amor amist alli maltrat say yin conoc cabr oper qued inconscient cabr llev joaquin muer dispar propin cabez mar ameli
"SINOPSIS: Arturo selecciona a Ana para que sea modelo de su próxima obra artística. Ana llega al taller de Arturo: un sitio aparentemente normal. Toca la puerta y esta se abre sola, lentamente. A lo lejos se escucha la voz de un hombre que le pide que siga. Ana entra y observa que mÍs allÍ de ser un taller de arte es un lugar lÍºgubre y misterioso el cual atrapa toda su atención envolviendola en una temeridad que hace que se conecte con su lado mÍs débil. Ana, observa muy detalladamente el taller: mÍscaras por todas partes, decoraciones extrañas y abrumantes, velas y cuadros misteriosos con retratos de Ana, (que al final ella descubriría)adornan el lugar. Ana se da cuenta que Arturo no es un artista normal (eso cree ella), sino un hombre extraño con una mÍscara en el rostro. Ella empieza una persecución absurda hacia Arturo, buscando desesperadamente la salida, pero, se da cuenta que la Íºnica forma de escapar con vida es lastimandolo; transcurre el tiempo y Ana d",sinopsis artur seleccion ana model proxim obra artist ana lleg tall artur siti aparent normal toc puert abre sol lent lej escuch voz hombr pid sig ana entra observ mis alli ser tall arte lug liºgubr misteri atrap tod atencion envolv temer hac conect lad mis debil ana observ detall tall misc tod part decor extrañ abrum vel cuadr misteri retrat ana final descubr adorn lug ana da cuent artur artist normal cre sin hombr extrañ misc rostr empiez persecu absurd haci artur busc desesper sal da cuent iºnic form escap vid lastim transcurr tiemp ana d
"Amaya es una niña de 7 años, ya en las calles y víctima de la indiferencia de su madre se ve envuelta en una dura situación. Benjamín Velandia, un distraído transeÍºnte que al cruzar sus pasos con los de esta inocente niña, emprende una carrera contra el tiempo para la luchar entre la vida, la muerte, y el remordimiento.",amay niñ 7 años call victim indiferent madr ve envuelt dur situacion benjamin velandi distraid transeiºnt cruz pas inocent niñ emprend carrer tiemp luch vid muert remord
"Este cortometraje cuenta la historia de una mujer desesperada por encontrar a su hermana y decide hacer hasta lo imposible hasta dar con su paradero. En el camino irÍ desarrollando planes que la envolverÍn en una historia tortuosa, conflictiva que la harÍn actuar como nunca pensó.",cortometraj cuent histori muj desesper encontr herman decid hac impos dar parader camin iri desarroll plan envolverin histori tortuos conflict harin actu nunc pens
"Pablo en un día rutinario se sube al trasporte pÍºblico para ir al trabajo, parece ser como cualquier otro día, en este trayecto encuentra diferentes personajes quienes dependen de sus ventas informales en ese medio de trasporte para subsistir, la historia se complica un poco cuando el señor BermÍºdez cliente de Pablo, lo llama para acosarlo y hacer que le cumpla una cita pactada.",pabl dia rutinari sub trasport piºblic ir trabaj parec ser cualqui dia trayect encuentr diferent personaj depend vent informal medi trasport subsist histori complic señor bermiºdez client pabl llam acos hac cumpl cit pact
"Un ejemplo de amor moderno o quizÍ de tragedia vanguardista donde los personajes se embarcan en un viaje entre la razón y la duda, llevando al mÍximo los sentimientos hacia la otra persona, permitiendo que el espectador se debata entre la realidad en la que vive y la que muestra los protagonistas. Un drama contemporÍneo con unos toques de cine negro que atrapan y conmueven al pÍºblico hasta el final de la película.",ejempl amor modern quiz tragedi vanguard personaj embarc viaj razon dud llev mixim sentimient haci person permit espect debat realid viv muestr protagon dram contemporine toqu cin negr atrap conmuev piºblic final pelicul
"Ana vive con Rosa su abuela, mujer amorosa y sobre protectora; pero sin que Rosa lo sospeche una despiadada realidad golpea a la ingenua niña, una sociedad que la somete, odiar o perdonar sera la decisión que determine el futuro de Ana.",ana viv ros abuel muj amor protector ros sospech despiad realid golpe ingenu niñ socied somet odi perdon ser decision determin futur ana
"Narra una historia real de amor como cualquier historia de amor de gatos. Roni es un gato amarillo, con manos deformes, que fue adoptado por una amorosa y consentidora familia compuesta por una chica, su mamÍ y su abuelita. Paloma, es una gata blanca con negro, muy linda que llegó al barrio con la señora de la tienda, conoce a una chica muy dulce que juega con ella cada vez que va a comprar brownies. Un día, decide seguirla y quedarse en su casa. Allí conoce a Roni, tras muchos intentos logran ser amigos, deciden compartir la vida en la casa de su humano y aÍºn viven felices.",narr histori real amor cualqui histori amor gat roni gat amarill man deform adopt amor consentidor famili compuest chic mam abuelit palom gat blanc negr lind lleg barri señor tiend conoc chic dulc jueg cad vez va compr browni dia decid segu qued cas alli conoc roni tras intent logr ser amig decid compart vid cas human aiºn viv felic
"Es la historia de un hombre , que es muy noble, trabajador y pendejo a la vez, que se entera que su esposa , cuya mujer es una descarada y sinica, le pone cachos , y el del tanto amor que le tiene siempre la perdona porque no quiere perder su hogar.",histori hombr nobl trabaj pendej vez enter espos cuy muj descar sinic pon cach amor siempr perdon quier perd hog
"Angel Laborda estÍ en una entrevista de trabajo, se encuentra desesperado porque esta es la Íºltima opción para demostrarle a su mujer que puede obtener un trabajo sino ella podría irse con otro, a su lado hay otros tres aspirantes al trabajo, a los cuales él pretende sacarlos del camino aunque tenga que acudir a su lado mas oscuro, pero una chica quien llega a Íºltimo momento le traerÍ una sorpresa.",angel labord esti entrev trabaj encuentr desesper iºltim opcion demostr muj pued obten trabaj sin podr irse lad tres aspir trabaj cual pretend sac camin aunqu acud lad mas oscur chic lleg iºltim moment traer sorpres
"Íngeles Invisibles es un cortometraje documental creado y dirigido por la Psicóloga Solanye Ramirez Murcia, donde recurre a la técnica psicodramatica para facilitar la personificación de un Íngel en Jeison un Joven de 36 años que vivencia una discapacidad cognitiva, permitiendo así que él nos muestre la sensibilidad de su mundo, su pasión por vivir y las ganas de ser. â€œÍngeles Invisibles permite saber que contemplar los Íngeles es posible â€¦ cuando es posible verlosâ€.",i ngel invis cortometraj documental cre dirig psicolog solany ramirez murci recurr tecnic psicodramat facilit personif i ngel jeison jov 36 años vivenci discapac cognit permit asi muestr sensibil mund pasion viv gan ser â œi ngel invis permit sab contempl ingel posibl â posibl verlosâ
"Keisy (23) es una joven que vivía llena de sufrimiento debido a que en su camino conoce a Ricardo(26), siempre pensó que él seria el amor de su vida pues la trataba con palabras dulces, y en todo momento sus oídos escucharon Te Amo, aunque con sus actos demostró lo contrario; terminada su relación y pasado un tiempo inicia una nueva etapa en la vida de Keisy, empieza a trabajar y en ese momento conoce a NicolÍs (24), poco a poco la enamora y demuestra lo que siente hacia ella, Nico nunca le ha dicho te amo, pero gracias a esto Keisy sabrÍ que es el amor y como aprender a amar.",keisy 23 jov viv llen sufrimient deb camin conoc ricard 26 siempr pens seri amor vid pues trat palabr dulc moment oid escuch amo aunqu actos demostr contrari termin relacion pas tiemp inici nuev etap vid keisy empiez trabaj moment conoc nicol 24 enamor demuestr haci nic nunc dich amo graci keisy sabr amor aprend amar
"Canción titulada ""Aquí te espero"" es de la Autoria de Nataly Ramirez, nació de hechos sentimentales y trata de una pareja de enamorados que la distancia les juega un rol inesperado, solo les queda recordar todos los momentos felices que pasaron y vivir con ese recuerdo hasta que el destino decida reunirlos de nuevo. el audio de la guitarra es grabada con celular en dos secciones y algunas locaciones son sencillamente improvisadas.",cancion titul aqu esper autori nataly ramirez nac hech sentimental trat parej enamor distanci jueg rol inesper sol qued record moment felic pas viv recuerd destin dec reun nuev audi guitarr grab celul dos seccion locacion sencill improvis
"Una consideración sobre la indiferencia que acompaña a nuestros compatriotas. Que se plasma en ""El ojo del poeta"" y su desconocimiento apesar de su abundancia en los caminos y veredas colombianos.",consider indiferent acompañ compatriot plasm ojo poet desconoc apes abund camin vered colombian
"Ass/ault (Asalto en Ingles) cuenta la historia de 5 experimentados asaltantes que tienen la difícil misión de robar lo que ellos consideran que es ""el tesoro mas grande nunca antes robado"" y para llegar a el tendrÍn que usar toda su astucia y valentía para obtenerlo. Este es un cortometraje muy bonito porque al final deja un mensaje muy interesante y es que cualquier cosa que cada uno considere como importante puede volverse valiosa y puede ser algo especial. Así mismo, hacemos un aprecio enorme al niño interior que todos llevamos dentro y que nunca pasa desapercibido , donde resaltamos que cualquier lugar es ideal para marcar una gran historia. Este año quisimos hacer la grabación de este cortometraje en un solo plano sin cortes y solo al final agregar los créditos con cada uno de los integrantes. Esperamos que esta historia invite a soñar a muchos a que vuelvan a recrear aquellas historias que siempre quisieron hacer y sentir que podemos ser creativos siempre.",ass ault asalt ingles cuent histori 5 experiment asalt dificil mision rob consider tesor mas grand nunc rob lleg tendrin usar tod astuci valent obten cortometraj bonit final dej mensaj interes cualqui cos cad consider import pued volv valios pued ser especial asi mism hac apreci enorm niñ interior llev dentr nunc pas desapercib resalt cualqui lug ideal marc gran histori año quis hac grabacion cortometraj sol plan cort sol final agreg credit cad integr esper histori invit soñ vuelv recr aquell histori siempr quis hac sent pod ser creativ siempr
"Mi cortometraje va tratar sobre las maravillas que tiene la ciudad de Medellín, en ello voy a mostrar muchas fotos de los paisajes mÍs cautivadores, lo que hace a Medellín una ciudad hermosa de ver",cortometraj va trat maravill ciud medellin ello voy mostr much fot paisaj mis cautiv hac medellin ciud hermos ver
"Bajo La Cruz es un cortometraje que se centra en Mauricio, un joven cuya discapacidad visual lo impulsa a soñar con querer sentirse por un día igual a los demÍs, pero se pone a prueba con comentarios inesperados hacia él.",baj cruz cortometraj centr maurici jov cuy discapac visual impuls soñ quer sent dia igual dem pon prueb comentari inesper haci
"El autismo y deficiencia en el aprendizaje no fue obstÍculo para que Richard Evans ( 28 ), recorriera un camino fascinante hasta llegar a una tumba y dejar allí lo que para muchos es absurdo. Despues de la muerte de su madre, Richard se obsesiona por recolectar empaques de productos o papel los pone en una bolsa y cada año justo el día de fallecida su madre emprende un viaje para finalmente como un ritual hacer lo inimaginado, gracias a su especial y fantÍstica imaginación tiene la Ilusion de llevar hermosas Â¨floresÂ¨, pero realmente el contenido de su regalo no es mas que basura y desperdicios de papel. Escapar del centro de adultos especiales y romper las reglas es lo Íºnico que quiere para cumplir su cometido y tener el encuentro mas fantÍstico, especial y alentador jamas visto; dar lo que mas le gustaba a su madre Â¨ Las FloresÂ¨.",autism deficient aprendizaj obsticul richard evans 28 recorr camin fascin lleg tumb dej alli absurd despu muert madr richard obsesion recolect empaqu product papel pon bols cad año just dia fallec madr emprend viaj final ritual hac inimagin graci especial fantist imagin ilusion llev herm â floresâ realment conten regal mas basur desperdici papel escap centr adult especial romp regl iºnic quier cumpl comet ten encuentr mas fantist especial alent jam vist dar mas gust madr â floresâ
"Benjamin es un niño q desarrolla un juego simbolico con su hermana, utilizaa ropa de papÍ para narrar su cortometraje. Mientras cuenta su historia de superheroes su hermanita trata de interpretar de forma divertida sus historias,entre risas y juegos descubren que lo mas maravilloso es compatir.",benjamin niñ q desarroll jueg simbol herman utiliza rop pap narr cortometraj mientr cuent histori superher hermanit trat interpret form divert histori ris jueg descubr mas maravill compat
"BÍºsqueda de la Creatividad, narra la historia de una artista integral con un bloqueo, algo muy comÍºn que todos hemos tenido que experimentar las personas creativas en el camino del arte, sea cual sea la rama, visual, plÍstica, interpretativa, literaria, musical... Es por esto que la protagonista intenta hallar a su musa a través de todas estas dimensiones artísticas, sin embargo por mas de que lo intente y se apasione por ello de a momentos, el monstruo de la rabia, la ataca, sin terminar sus actividades... Estando sin salida alguna, sintiéndose vacía, sin un propósito por el que vivir (puesto que considera a el arte como su misión en esta vida) estando en la punta del iceberg de sus dudas, miedos, y factores que la hacen actuar de manera molesta cuando no logra lo que quiere, decide tomar un momento para reflexionar, respirar, apreciar lo que tiene a su alrededor, decidiendo salir de su zona de confort, tanto literaria como metafóricamente. Sale de su apartamento, (e",biºsqued creativ narr histori artist integral bloque comiºn experiment person creativ camin arte ram visual plistic interpret literari musical protagon intent hall mus traves tod dimension artist embarg mas intent apasion ello moment monstru rabi atac termin activ sal algun sint vac proposit viv puest consider arte mision vid punt iceberg dud mied factor hac actu maner molest logr quier decid tom moment reflexion respir apreci alrededor decid sal zon confort literari metafor sal apartament
"Un joven entra en un estado de depresión y aislamiento pues acaba de ser dejado por su novia con la cual vivía. Todos los espacios hacen referencia a su presencia y debe comenzar a borrar todo lo que la recuerda. Finalmente decide ingresar a una aplicación para conocer gente llamada Gi date y conoce a una agradable chica con la que hace amistad, lo que no sabe es que realmente nada es como parece.",jov entra depresion aislamient pues acab ser dej novi viv espaci hac referent presenci deb comenz borr recuerd final decid ingres aplic conoc gent llam gi dat conoc agrad chic hac amist sab realment parec
"Un joven universitario se encuentra reunido con sus amigos, pero algo sucede con él y de repente comienza a asesinarlos brutalmente, los ataca brutalmente quitandoles la vida, hasta que reacciona y queda confundido con lo que hizo, Daniel llega a su apartamento y observa todo el caos que dejo Felipe observando los cuerpos de sus amigos que yacen sin vida, al final encuentra a Felipe desconcertado y le explica porque reaccionó de esta manera.",jov universitari encuentr reun amig suced repent comienz asesin brutal atac brutal quit vid reaccion qued confund hiz daniel lleg apartament observ caos dej felip observ cuerp amig yac vid final encuentr felip desconcert explic reaccion maner
