,Año,Categoría,País,Género,¿Cómo se enteró?,Referencia Dispositivo
580,2016,Juvenil,Colombia,documental,Televisión,"Moto g 2 generacion , lenovo A6000-"
581,2016,Juvenil,Internacional,documental,Televisión,iphone 6 plus
582,2016,Juvenil,Colombia,drama,Amigo,"iphone 4, ipad 3, moto g 3,huawei scl-l03"
583,2016,Juvenil,Colombia,drama,Televisión,huawei P7
584,2016,Juvenil,Colombia,Documental,Prensa,"LG F3 P655, iPhone OS 4"
585,2016,Juvenil,Colombia,suspenso,Redes Sociales,iPhone 6s
586,2016,Juvenil,Colombia,drama,Radio,samsung galaxy s6 edge
587,2016,Juvenil,Colombia,comedia,Televisión,Iphone 5
588,2016,Juvenil,Colombia,drama,Amigo,Samsumg Galaxy Core II
589,2016,Juvenil,Colombia,documental,Amigo,SONY XPERIA E4G -HUAWEY ASCEND P7
590,2016,Juvenil,Colombia,Comedia romántica,Radio,Iphone 6 / Huawei P8Lite
591,2016,Juvenil,Colombia,documental,Amigo,Motorola Moto G Segunda Generacion
592,2016,Juvenil,Colombia,ficcion,Amigo,Moto-x
593,2016,Juvenil,Colombia,Documental,Amigo,Samsung Galaxi 7 Force
594,2016,Juvenil,Colombia,documental,Amigo,Apple (iPod touch)
595,2016,Juvenil,Colombia,suspenso,Redes Sociales,Samsung Galaxy grand prime Sm-g531
596,2016,Juvenil,Colombia,drama,Amigo,"LG G3, HAWEI Y520 , IPHONE 6, IPHONE 4S."
597,2016,Juvenil,Colombia,comedia,Internet,Avvui 793
598,2016,Juvenil,Colombia,drama,Amigo,moto g primera generacion-MOTO E SEGUNDA GENERACION
599,2016,Juvenil,Colombia,drama,Amigo,"Iphone 4 , 4s , 6"
601,2016,Juvenil,Colombia,ficcion,Internet,alcatel onetouch pop2
602,2016,Juvenil,Colombia,suspenso,Redes Sociales,Motorola Nexus 5
603,2016,Juvenil,Colombia,suspenso,Internet,asus zenfone 2 y moto g 3 generacion
604,2016,Juvenil,Colombia,ficcion,Amigo,Samsung Galaxy S6 (SM-G920I)
605,2016,Juvenil,Colombia,ficcion,Redes Sociales,Iphone 6
606,2016,Juvenil,Colombia,Comedia,Internet,Samsung galaxi grand max
607,2016,Juvenil,Colombia,drama,Amigo,Samsumg Galaxy Core II
608,2016,Juvenil,Colombia,drama,Radio,Ipod 5
609,2016,Juvenil,Colombia,drama,Televisión,Sony Expiria
610,2016,Juvenil,Colombia,ficcion,Amigo,iphone 6
611,2016,Juvenil,Colombia,drama,Amigo,alcatel one touch pixi 3
612,2016,Juvenil,Colombia,suspenso,Amigo,Asus
613,2016,Juvenil,Colombia,documental,Amigo,Samsung Galaxy S6
614,2016,Juvenil,Colombia,drama,Amigo,Avvio 787-Galaxy 3s mini
615,2016,Juvenil,Colombia,ficcion,Amigo,Iphone 5 y Iphone 4
616,2016,Juvenil,Colombia,drama,Amigo,"moto g, alcatel onetouch, gigo"
617,2016,Juvenil,Colombia,drama,Televisión,Samsung galaxy s3
618,2016,Juvenil,Colombia,comedia,Internet,"IPHONE 6, LANIX L 1100"
619,2016,Juvenil,Colombia,drama,Internet,Iphone 6 / Iphone 5 (makingof)
620,2016,Juvenil,Colombia,suspenso,Internet,iphone 6s plus y htc m8
621,2016,Juvenil,Colombia,comedia,Internet,Sony Xperia
622,2016,Juvenil,Colombia,Drama / Superación personal,Radio,iPhone 4s
623,2016,Juvenil,Colombia,terror,Televisión,A5
624,2016,Juvenil,Colombia,suspenso,Radio,Iphone 6 / Iphone 5 / Huawei p8Lite /
626,2016,Juvenil,Colombia,accion,Amigo,I phone 4
627,2016,Juvenil,Colombia,drama,Internet,MOTO G SEGUNDA GENERACIÓN
628,2016,Juvenil,Colombia,drama,Radio,Iphone 6 / Huawei P8Lite
629,2016,Juvenil,Colombia,drama,Amigo,Moto G Tercera Generación
630,2016,Juvenil,Colombia,drama,Amigo,HUAWEi Y520-U03
631,2016,Juvenil,Argentina,suspenso,Redes Sociales,iPhone 5
632,2016,Juvenil,Colombia,documental,Radio,"acatel t pop , avvio 778"
633,2016,Juvenil,Colombia,drama,Amigo,samsumg galaxy ACE 4 Neo
634,2016,Juvenil,Colombia,drama,Amigo,samsung galaxy j5
635,2016,Juvenil,Colombia,documental,Televisión,samsung j1
636,2016,Juvenil,Colombia,drama,Amigo,samsung Galaxy A5
638,2016,Juvenil,Colombia,documental,Televisión,Samsung Galaxy Grand Prime / Moto X 1 Generacion / Iphone 4s / Iphone 6
639,2016,Juvenil,Colombia,accion,Televisión,Utilizamos un Verykool un sansung un Nokia lunmian un alcatel one touch y un ice perdonen si no soy
640,2016,Juvenil,Colombia,comedia,Redes Sociales,Samsung Galaxy J7 Modelo SM-J700H
641,2016,Juvenil,Colombia,accion,Amigo,alcatel one touch pixi 3
642,2016,Juvenil,Colombia,drama,Redes Sociales,samsung gt9080l
643,2016,Juvenil,Colombia,drama,Amigo,Samsung Galaxy Grand Prime
644,2016,Juvenil,Colombia,ficcion,Amigo,Samgung Galaxy S3
645,2016,Juvenil,Colombia,drama,Amigo,iPhone 6
646,2016,Juvenil,Colombia,ficcion,Amigo,un Samsung galaxi J7
647,2016,Juvenil,Colombia,suspenso,Internet,"samsun,sony xperia"
648,2016,Juvenil,Colombia,drama,Internet,"samsung galaxy j7 , moto g 3generacion"
649,2016,Juvenil,Colombia,drama,Televisión,"Moto G 3ra Generacion pantalla 720p de 5 pulgadas de su predecesor, cámara principal de 13 megapi"
650,2016,Juvenil,Colombia,accion,Amigo,iphone 4 y sony xpiria m2
651,2016,Juvenil,Colombia,documental,Prensa,iphone 5c
652,2016,Juvenil,Colombia,drama,Prensa,Huawei ascend G630
653,2016,Juvenil,Colombia,suspenso,Amigo,Samsung Galaxy Grand Prime
654,2016,Juvenil,Colombia,drama,Redes Sociales,LANIX x-200
655,2016,Juvenil,Colombia,documental,Televisión,LG optimus 3D | Moto E Xt1021
656,2016,Juvenil,Colombia,comedia,Internet,Samsung Note 4
657,2016,Juvenil,Ecuador,suspenso,Amigo,"Iphone 4s, Samsung Galaxy s5"
658,2016,Juvenil,Colombia,drama,Redes Sociales,"IPhone 4S, IPhone 5,"
659,2016,Juvenil,Colombia,Drama,Prensa,azumi a35+
660,2016,Juvenil,Colombia,ficcion,Radio,SAMSUNG J1
661,2016,Juvenil,Colombia,suspenso,Prensa,iPhone 5s
662,2016,Juvenil,Colombia,drama,Amigo,"Samsung Galaxy Grand Prime, Iphone 4s"
663,2016,Juvenil,Colombia,drama,Redes Sociales,iphone 6s
664,2016,Juvenil,Colombia,drama,Internet,"Motorola G tercera Generación, Avio 777, Samsung Galaxy Ace 4 Neo."
665,2016,Juvenil,Colombia,drama,Amigo,Galaxy J7
666,2016,Juvenil,Colombia,documental,Amigo,SM-G357M
667,2016,Juvenil,Colombia,Documental,Televisión,G630-U251
668,2016,Juvenil,Colombia,terror,Televisión,samsung J7
669,2016,Juvenil,Colombia,documental,Amigo,Motorola G
670,2016,Juvenil,Colombia,drama,Televisión,Iphone SE
671,2016,Juvenil,Colombia,drama,Amigo,"iPhone 6, iPhone 6s"
672,2016,Juvenil,Colombia,drama,Redes Sociales,"Huawei P7, Samsung Galaxy s4 mini"
673,2016,Juvenil,Colombia,terror,Amigo,samsung galaxy j7
674,2016,Juvenil,Colombia,drama,Televisión,Samsung Galaxy S6 edge y/o samsung j5
675,2016,Juvenil,Colombia,drama,Radio,huawei g 730
676,2016,Juvenil,Colombia,drama,Radio,"iphone 5c,nokia lumia520,moto g3, lanix illium."
677,2016,Juvenil,Colombia,documental,Internet,BLU LIFE ONE-AVVIO775
678,2016,Juvenil,Marruecos,Drama,Redes Sociales,IPhone 6
679,2016,Juvenil,Colombia,drama,Redes Sociales,IPHONE 6
680,2016,Juvenil,Colombia,drama,Televisión,"samsung galaxy s6 edge, samsung galaxy s5 mini, samsung j5"
681,2016,Juvenil,Colombia,drama,Redes Sociales,Azumi A50C+
682,2016,Juvenil,Colombia,documental,Amigo,"Avvio 510, Moto G2"
683,2016,Juvenil,Colombia,drama,Amigo,"motox, samsun galaxi core 2, samsun galaxi grand prime, huawei aj28p"
684,2016,Juvenil,Colombia,suspenso,Amigo,Lanix - llium L1200 version de Android 5.1
685,2016,Juvenil,Colombia,documental,Prensa,Iphone 6
686,2016,Juvenil,Colombia,ficcion,Prensa,IPHONE 5C Y IPHONE
687,2016,Juvenil,Colombia,comedia,Amigo,Apple
688,2016,Juvenil,Colombia,suspenso,Amigo,Samsung galaxy s6
689,2016,Juvenil,Colombia,drama,Internet,"iphone 6 , iphone 5, huawei G6"
690,2016,Juvenil,Colombia,suspenso,Amigo,"Moto g, primera generación y Samsung Galaxy A5 SM-A500M"
691,2016,Juvenil,Colombia,comedia,Amigo,Samsung galaxi j5
692,2016,Juvenil,Colombia,comedia,Televisión,iphone 4s
693,2016,Juvenil,Colombia,ficcion,Amigo,Samsung Galaxy s6
694,2016,Juvenil,Colombia,drama,Amigo,Huawei P7
695,2016,Juvenil,Colombia,documental,Internet,Motorola Moto G 1Generacion
696,2016,Juvenil,Colombia,drama,Amigo,"Samsung Galaxy grand prime, IPhone 4s"
697,2016,Juvenil,Colombia,documental,Televisión,Huawei G730
698,2016,Juvenil,Colombia,documental,Amigo,HTC ONE M8
699,2016,Juvenil,Colombia,drama,Prensa,"iPhone 6, iPhone 5c"
700,2016,Juvenil,Colombia,comedia romantica,Televisión,iPhone 5s
701,2016,Juvenil,Colombia,drama,Redes Sociales,Sony Xperia Z3 - Motorola Moto G 2da gen.
702,2016,Juvenil,Colombia,drama,Radio,"Xperia Z2, HTC ONE X, iPHONE 5s."
703,2016,Aficionado,Colombia,drama,Internet,Samsung j5
704,2016,Aficionado,Colombia,drama,Amigo,Huawei P7
705,2016,Aficionado,Colombia,suspenso,Televisión,"Samsung Galaxy J1 Ace, Samsung Galaxy Grand Prime, Sony Xperia m1 Aqua, LG g4"
706,2016,Aficionado,Colombia,drama,Amigo,Samsung Galaxy S5
707,2016,Aficionado,Colombia,comedia romantica,Televisión,"Samsung Galaxy A5, Samsung Galaxy A3, Vodafone Smart 4 turbo."
708,2016,Aficionado,Colombia,suspenso,Televisión,LG G3 - Alcatel Go Play
709,2016,Aficionado,Colombia,drama,Radio,Sansung Galaxi A5
710,2016,Aficionado,Colombia,drama,Redes Sociales,Motorola G (segunda generación)
711,2016,Aficionado,Colombia,suspenso,Redes Sociales,i-phone 6
712,2016,Aficionado,Colombia,suspenso,Redes Sociales,Motorola Moto G
713,2016,Aficionado,Colombia,drama,Redes Sociales,"Samsung a5, Avvio 795"
714,2016,Aficionado,Colombia,drama,Amigo,ipad mini
715,2016,Aficionado,Colombia,drama,Internet,HUAWEI Y625
716,2016,Aficionado,Colombia,terror,Amigo,SAMSUNG GALAXY ALPHA
717,2016,Aficionado,Colombia,ficcion,Amigo,Samsung Grant Prime - Huawei P8
718,2016,Aficionado,Colombia,comedia,Prensa,iPhone 6S+
719,2016,Aficionado,Colombia,Drama,Televisión,HUAWEI G610
720,2016,Aficionado,Colombia,drama,Internet,Iphone 4
721,2016,Aficionado,Colombia,drama,Televisión,Lg h520g
722,2016,Aficionado,Colombia,drama,Redes Sociales,ZenFone 2
723,2016,Aficionado,Colombia,drama,Televisión,(1) un Iphone 6 s plus
724,2016,Aficionado,Colombia,drama,Internet,iPHONE 5 16GB
725,2016,Aficionado,Colombia,suspenso,Radio,"samsung galaxy J7, samsung galaxy S5"
726,2016,Aficionado,Colombia,documental,Redes Sociales,alcatel pop c7 - Samsung galaxy Prime
727,2016,Aficionado,Colombia,drama,Internet,"Cyanogen, one plus one"
728,2016,Aficionado,México,suspenso,Internet,Iphone 6 grabación y detrás de cámara Samsung Galaxy A5
729,2016,Aficionado,Colombia,suspenso,Amigo,Iphon 5s Iphone 6s
730,2016,Aficionado,Colombia,drama,Redes Sociales,"Motorola XT1053, Motorola XT912"
731,2016,Aficionado,Colombia,drama,Redes Sociales,samsung galaxy J7
732,2016,Aficionado,Colombia,suspenso,Televisión,BLACKBERRYZ10 Y Samsung Galaxy J7 Blanco
733,2016,Aficionado,Colombia,drama,Otra,Huawei p8
734,2016,Aficionado,Colombia,drama,Internet,Motorola 3G
735,2016,Aficionado,Colombia,suspenso,Radio,Samsung Galaxy S6 EDGE
736,2016,Aficionado,Colombia,drama,Radio,SAMSUNG GALAXI J7
737,2016,Aficionado,Colombia,drama,Internet,Samsung Galaxy ACE J1
738,2016,Aficionado,Colombia,accion,Internet,iphone 5
739,2016,Aficionado,Colombia,drama,Prensa,"Samsung Galaxy J1 Ace, Huawei G610 - U15"
740,2016,Aficionado,Colombia,ficcion,Internet,AX 650
741,2016,Aficionado,Colombia,drama,Televisión,iPhone 5s
742,2016,Aficionado,Colombia,suspenso,Radio,"Samsung J2, Iphone 5"
743,2016,Aficionado,Colombia,suspenso,Internet,iPhone 6
744,2016,Aficionado,Colombia,terror,Internet,1 Samsung Galaxy S6
745,2016,Aficionado,Colombia,comedia romantica,Internet,iPad 3
746,2016,Aficionado,Colombia,drama,Redes Sociales,"Alcatel Onetouch, MotoG 2da generación, Samsung Core Duos"
747,2016,Aficionado,Colombia,drama,Amigo,Samsung Galaxy A5
748,2016,Aficionado,Colombia,drama,Internet,"LG G3 , SAMSUNG J5"
749,2016,Aficionado,Colombia,ficcion,Redes Sociales,Samsung / GALAXY NOTE 5
750,2016,Aficionado,Colombia,suspenso,Amigo,Iphone 6 plus
751,2016,Aficionado,Colombia,accion,Radio,motorola moto G de tercera generacion
752,2016,Aficionado,Colombia,drama,Amigo,"Iphone 6, samsung j7"
753,2016,Aficionado,Colombia,drama,Internet,Samsung S4; Iphone 4S; Motorola G
754,2016,Aficionado,Colombia,drama,Amigo,"iPhone 6s, Lenovo PBI-750M"
755,2016,Aficionado,Colombia,comedia romantica,Amigo,LG G4 - SAMSUNG S5
756,2016,Aficionado,Colombia,accion,Internet,Huawei G7_L03
757,2016,Aficionado,Colombia,documental,Otra,Lenovo A606
758,2016,Aficionado,Colombia,accion,Otra,3194542336
759,2016,Aficionado,Colombia,ficcion,Amigo,ninguno
760,2016,Aficionado,Colombia,ficcion,Internet,Samsung Galaxy A7 - Samsung Galaxy S6
761,2016,Aficionado,Colombia,drama,Internet,iPhone 5s; iPhone 4; Samsung Galaxy Grand Prime; Huaweii Lua IO3.
762,2016,Aficionado,Colombia,drama,Otra,Lanix ILIUM l1900
763,2016,Aficionado,Colombia,drama,Internet,Samsung Galaxy Grand
764,2016,Aficionado,Colombia,drama,Prensa,iphone 6
765,2016,Aficionado,Colombia,drama,Otra,iPad
766,2016,Aficionado,Colombia,suspenso,Televisión,Motorola XT1097
767,2016,Aficionado,Colombia,drama,Amigo,nokia lumia 520
768,2016,Aficionado,Colombia,drama,Otra,Samsung S5
769,2016,Aficionado,Ecuador,suspenso,Redes Sociales,Samsung Galaxy S5
770,2016,Aficionado,Colombia,Drama,Amigo,iphone 6 / Nexus 6
771,2016,Aficionado,Colombia,drama,Otra,"Ipad Mini, primera generación."
772,2016,Aficionado,Colombia,accion,Otra,Oneplus One
773,2016,Aficionado,Colombia,drama,Amigo,HUAWEI G6-U251
774,2016,Aficionado,Colombia,ficcion,Internet,"Lg flex, Avvio 793"
775,2016,Aficionado,Colombia,comedia,Redes Sociales,Xperia z1 compact
776,2016,Aficionado,Colombia,drama,Otra,Samsung Galaxy S6
777,2016,Aficionado,Colombia,ficcion,Amigo,LG G4 Beat
778,2016,Aficionado,Colombia,drama,Internet,SONNY xperia c5 ultra
779,2016,Aficionado,Colombia,ficcion,Prensa,Samsung Galaxy J2
780,2016,Aficionado,Colombia,drama,Otra,Iphone 5
781,2016,Aficionado,Colombia,documental,Otra,"Alcatel One Touch Go Play, Samsung Grand, Samsung Core 2, Huawei G"
782,2016,Aficionado,Colombia,suspenso,Amigo,ZTE Blade C2 Plus
783,2016,Aficionado,Colombia,suspenso,Radio,"Sony Xperia LT26i, Sony Xperia S"
784,2016,Aficionado,Colombia,documental,Internet,"LG bello, Samsumg A5."
785,2016,Aficionado,Colombia,drama,Radio,samsung note 2 y samsun s3
786,2016,Aficionado,Colombia,drama,Internet,Galaxy J1 ACE
787,2016,Aficionado,Colombia,drama,Internet,LG Optimus L7 II
788,2016,Aficionado,Colombia,drama,Radio,HUAWEI G610-U15
789,2016,Aficionado,Colombia,comedia,Amigo,MOTOROLA
790,2016,Aficionado,Colombia,drama,Internet,IPhone 6
791,2016,Aficionado,Colombia,drama,Amigo,SAMSUNG GALAXY COREL PRIME - SAMSUNG J1 MINI
792,2016,Aficionado,Colombia,accion,Internet,huawei 330
793,2016,Aficionado,Colombia,drama,Televisión,samsung galaxy grand prime
794,2016,Aficionado,España,comedia,Internet,Iphone 6s
795,2016,Aficionado,Colombia,ficcion,Amigo,Huawei G6-U251 y iPhone 6s
796,2016,Aficionado,Colombia,drama,Otra,Samsung galaxy grand
797,2016,Aficionado,Colombia,documental,Amigo,Samsung Galaxy SIII Mini - Samsung Galaxy A3
798,2016,Aficionado,Colombia,comedia,Internet,IPHONE
799,2016,Aficionado,Colombia,drama,Radio,iPhone 5
800,2016,Aficionado,Colombia,drama,Internet,Samsung J5
801,2016,Aficionado,Colombia,documental,Internet,Samsung Galaxy Grand Prime y Motorola G 16 GB
802,2016,Aficionado,Colombia,ficcion,Televisión,iphone 6s
803,2016,Aficionado,Colombia,drama,Amigo,Huawei P8
804,2016,Aficionado,Colombia,comedia romantica,Amigo,LG G4
805,2016,Aficionado,Colombia,comedia romantica,Amigo,Lanix Ilium L900
806,2016,Aficionado,Colombia,accion,Televisión,avvio 793
807,2016,Aficionado,Colombia,drama,Redes Sociales,samsung galaxy S6
808,2016,Aficionado,Colombia,drama,Amigo,Motorola - Moto G (2nd Gen)
809,2016,Aficionado,Colombia,ficcion,Internet,Samsung Galaxi S5
810,2016,Aficionado,Colombia,comedia romantica,Prensa,motorola g3
811,2016,Aficionado,Colombia,accion,Amigo,Iphone 5
812,2016,Aficionado,Colombia,ficcion,Amigo,Nokia Lumia 501 - Samsung Galaxy Ch@t Gt B5330l - Sony Xperia L
813,2016,Aficionado,Colombia,terror,Amigo,iPhone 6s. OnePlus One
814,2016,Aficionado,Colombia,suspenso,Amigo,B-MOBILE AX-650 IMEI 343137885676987 / MOTOROLA (MOTO E) IMEI 353324061032725
815,2016,Aficionado,Colombia,comedia,Amigo,Iphone 5
816,2016,Aficionado,Colombia,comedia,Internet,Samsung Galaxy J5 - Samsung Galaxy J3
817,2016,Aficionado,Colombia,ficcion,Redes Sociales,iPhone 5
818,2016,Aficionado,Colombia,comedia,Amigo,Motorola Moto g primera generación
819,2016,Aficionado,Colombia,Drama,Redes Sociales,ACATEL ONE TOUCH IDOL MINI
820,2016,Aficionado,Colombia,suspenso,Radio,Sony Xperia D2004
821,2016,Aficionado,Colombia,drama,Televisión,Motorola Moto G
822,2016,Aficionado,Colombia,drama,Amigo,samsung cs5 y iphone6
823,2016,Aficionado,Colombia,drama,Radio,Samsung galaxy ace 4 neo
824,2016,Aficionado,Colombia,drama,Amigo,nokia lumia 520
825,2016,Aficionado,Colombia,suspenso,Amigo,Samsung S5
826,2016,Aficionado,Colombia,comedia,Redes Sociales,Motorola G de segunda generación
827,2016,Aficionado,Colombia,comedia,Amigo,Sony Xperia z3 D6653
828,2016,Aficionado,Colombia,comedia romantica,Amigo,Iphone 6 - huawei p8
829,2016,Aficionado,Colombia,drama,Prensa,Samsung galaxy S5 - Motorola Moto e - Lenovo PB1-750M
830,2016,Aficionado,Colombia,documental,Radio,"Ipad 16""; LG Optimus; Huawei p8 lite; Samsung galaxy S5"
831,2016,Aficionado,Colombia,drama,Redes Sociales,"Samsung Duos,Moto g"
832,2016,Aficionado,Colombia,drama,Amigo,"Galaxy Note 3 , Galaxy Grand Prime"
833,2016,Aficionado,Colombia,drama,Redes Sociales,"Samsung Galaxy S6, Sony Ericson Z3, Samsung Galaxy Young"
834,2016,Aficionado,Colombia,suspenso,Internet,SAMSUNG S7
835,2016,Aficionado,Colombia,drama,Internet,Samsung Galaxy J7
836,2016,Aficionado,Colombia,suspenso,Otra,Samsung Glaxy J7
837,2016,Aficionado,Colombia,drama,Otra,LG magna
838,2016,Aficionado,Colombia,comedia,Internet,Huawei G735-l23 / samsung s3 mini
839,2016,Aficionado,Colombia,ficcion,Prensa,3186423115
840,2016,Aficionado,Argentina,Animación,Internet,3413617915
841,2016,Aficionado,Colombia,comedia,Internet,IPHONE 6
842,2016,Aficionado,Colombia,drama,Radio,Huawei G6 L33
843,2016,Aficionado,Colombia,drama,Internet,Samsung Grand Prime
844,2016,Aficionado,Colombia,drama,Amigo,IPHONE 5 Y IPHONE 6
845,2016,Aficionado,Colombia,ficcion,Internet,Iphone 5s - LG G4 Beat
846,2016,Aficionado,Colombia,ficcion,Amigo,iphone 6
847,2016,Aficionado,Colombia,suspenso,Televisión,Samsung Galaxy Note Pro SM-P900
848,2016,Aficionado,Colombia,drama,Internet,iPhone 5
849,2016,Aficionado,Colombia,ficcion,Televisión,IPHONE 6
850,2016,Aficionado,Colombia,comedia romantica,Amigo,iPhone S6
851,2016,Aficionado,Colombia,documental,Internet,"samsum galaxy gram pride CPU: Quad-Core, 1.2GHz Pantalla: TFT, 540 x 960 (qHD) Resolución: CMOS 8.0"
852,2016,Aficionado,Colombia,documental,Redes Sociales,LG Sporty L30
853,2016,Aficionado,Colombia,ficcion,Radio,Samsung galaxy ace 4 neo
854,2016,Aficionado,Colombia,drama,Televisión,Samsung Galaxy J7
855,2016,Aficionado,Colombia,drama,Redes Sociales,Motorola G (segunda generación)
856,2016,Aficionado,Colombia,comedia,Internet,"Samsung Note 5, Iphone 5s"
857,2016,Aficionado,Colombia,documental,Amigo,Iphone 5s
858,2016,Aficionado,Colombia,Ficción,Radio,iPhone 6s
859,2016,Aficionado,Colombia,suspenso,Amigo,IPhone 6
860,2016,Aficionado,Colombia,comedia,Prensa,iphone 6
861,2016,Aficionado,Colombia,suspenso,Televisión,LG G3
862,2016,Aficionado,Colombia,drama,Amigo,sony Z3 Samsun Galaxi J7
863,2016,Aficionado,Colombia,drama,Otra,samsun
864,2016,Aficionado,Colombia,drama,Amigo,Iphone 5s
865,2016,Aficionado,Colombia,drama,Redes Sociales,IPHONE 5
866,2016,Aficionado,Colombia,suspenso,Internet,Moto G 1ra Generacion
867,2016,Aficionado,Colombia,drama,Redes Sociales,laniz
868,2016,Aficionado,Colombia,suspenso,Internet,moto G segunda generacion
869,2016,Aficionado,Colombia,Drama,Internet,Sansung S5
870,2016,Aficionado,Colombia,drama,Redes Sociales,Samsung Galaxy J7
871,2016,Aficionado,Colombia,comedia,Redes Sociales,Iphone 6s Plus
873,2016,Aficionado,Colombia,documental,Prensa,SAMSUNG GALAXY S5
874,2016,Aficionado,Colombia,suspenso,Televisión,SANSUM J5
875,2016,Aficionado,Colombia,drama,Prensa,huawei p7
876,2016,Aficionado,Colombia,suspenso,Radio,samsung galaxyj500m
877,2016,Aficionado,Colombia,suspenso,Radio,"Samsumg Galaxi J1, Mini 2 , Huawei P7 Samsung S5, Huawei Mate 8,"
878,2016,Aficionado,Colombia,suspenso,Amigo,Huawei Y520 U33
879,2016,Aficionado,Colombia,drama,Prensa,Huawei P8 Lite
880,2016,Aficionado,Colombia,comedia,Amigo,Lenovo A526
881,2016,Aficionado,Colombia,ficcion,Internet,Iphone (4-5) samsung galaxy j2
882,2016,Aficionado,Colombia,suspenso,Redes Sociales,3203957972
883,2016,Aficionado,España,suspenso,Internet,LG V-500
884,2016,Aficionado,Colombia,suspenso,Internet,Huawei Y560-L02
885,2016,Aficionado,Colombia,ficcion,Amigo,1. HTC Desire 626s 2. Lg G3 Beat
886,2016,Aficionado,Colombia,drama,Radio,IPhone 5c
887,2016,Aficionado,Colombia,accion,Televisión,Huawei
888,2016,Aficionado,Colombia,suspenso,Amigo,Iphone6
889,2016,Aficionado,Colombia,drama,Televisión,"iphone 5, huawei p8 lite y movic g4"
890,2016,Aficionado,Colombia,drama,Otra,LENOVO A2010-I
891,2016,Aficionado,Colombia,drama,Radio,"huawei , iphone, samsung , avio"
892,2016,Aficionado,Colombia,drama,Amigo,"IPHONE S6 plus, Sony Ericson M4"
893,2016,Aficionado,Colombia,drama,Internet,Motorola Droid 4
894,2016,Aficionado,Colombia,drama,Televisión,Alcatel onetouch pop 2
895,2016,Aficionado,Colombia,comedia,Internet,"Samsung Core Prime LTE, SM-G630M"
896,2016,Aficionado,Colombia,drama,Internet,"Huawei Y530-U051, Samsung GT-l8260L, Krono NET 4"
897,2016,Aficionado,Colombia,accion,Redes Sociales,LENOVO PHAB
898,2016,Aficionado,Colombia,drama,Amigo,SONY XPIRIA Z1
899,2016,Aficionado,Colombia,drama,Amigo,Samsung Galaxy Prime y IPhone 6
900,2016,Aficionado,Colombia,drama,Redes Sociales,samsung j5
901,2016,Aficionado,Colombia,ficcion,Amigo,"Samsung S4 Mini, Iphone5"
902,2016,Aficionado,Colombia,drama,Radio,Motorola Moto g 3ra generación
903,2016,Aficionado,Colombia,accion,Internet,sony expiria z1
904,2016,Aficionado,Colombia,drama,Amigo,motorola moto g -- huawey g610
905,2016,Aficionado,Colombia,drama,Internet,Iphone 4s
906,2016,Aficionado,Colombia,drama,Prensa,Iphone 6
907,2016,Aficionado,Colombia,suspenso,Internet,avvio 787 y para making of alcatel fire c
908,2016,Aficionado,Colombia,suspenso,Internet,Samsung Galaxy S4
909,2016,Aficionado,Colombia,drama,Redes Sociales,Iphone 6
910,2016,Aficionado,Colombia,suspenso,Redes Sociales,Iphone 6
911,2016,Aficionado,Colombia,drama,Amigo,Iphone 6s
912,2016,Aficionado,Colombia,ficcion,Amigo,verizon hydro elite
913,2016,Aficionado,Colombia,drama,Internet,iPhone 6
914,2016,Aficionado,Colombia,ficcion,Radio,Moto G3
915,2016,Aficionado,Colombia,drama,Redes Sociales,Nokia 808 Pureview
916,2016,Aficionado,Colombia,comedia,Amigo,Samsung j1 - Avio L800
917,2016,Aficionado,Colombia,drama,Internet,iPhone 5S
918,2016,Aficionado,Colombia,accion,Internet,Iphone 4S 5S
919,2016,Aficionado,Colombia,drama,Internet,Huawei GRA - L09 P8 / Samsung galaxy tab 4
920,2016,Aficionado,Colombia,drama,Internet,Motorola moto g 3 generación
921,2016,Aficionado,Uruguay,ficcion,Redes Sociales,Blu 4G LTE
922,2016,Aficionado,Colombia,drama,Amigo,samsung galaxi s5 samsung corel 2 motox
923,2016,Aficionado,Colombia,drama,Internet,Iphone 5
924,2016,Aficionado,Colombia,suspenso,Televisión,LG g4 beat - sony xperia m4 aqua
926,2016,Aficionado,Colombia,comedia,Amigo,573152222305
927,2016,Aficionado,Colombia,suspenso,Amigo,samsung Galaxy Ace 4 neo dous
928,2016,Aficionado,Colombia,ficcion,Internet,Iphone 6s
929,2016,Aficionado,Colombia,drama,Amigo,Samsung Galaxy S3 (Making of) & Samsung Galaxy S7 EDGE (Cortometraje)
930,2016,Aficionado,Colombia,suspenso,Redes Sociales,Huawei MP8 (2)
931,2016,Aficionado,Colombia,drama,Internet,Samsung galaxy S IV
932,2016,Aficionado,Colombia,terror,Amigo,"Corto: Samsung Galaxy S4 mini GT-I9192, Making-of: tablet samsung tab 4 sm t530, Audios-Sonidos: Hua"
933,2016,Aficionado,Colombia,accion,Amigo,iphone 5s
934,2016,Aficionado,Colombia,accion,Amigo,"iPhone 6s, Lenovo PBI-750M"
935,2016,Aficionado,Colombia,documental,Internet,motorola razr - samsung mini s3
936,2016,Aficionado,Ecuador,suspenso,Internet,"iphone 5s, Samsung j1 ace, ipad."
937,2016,Aficionado,Colombia,suspenso,Amigo,Iphone 4s
938,2016,Aficionado,Colombia,drama,Amigo,ALCATAL POC C7 HUA HUAWEI SANSUNG
